stage,role,top,trial,status,elapsed_s,mapped_cell_count,mapped_cell_area,sequential_cell_area,combinational_cell_area,critical_delay_ps,delay_target_ps,target_met,exact_signature
timing,LEGACY_SCALAR,online_merge_legacy_scalar_mapped_top,1,PASS,83.5,61169,67122.972,2766.4,64356.57199999999,13657.7,1500,False,8259a0a238591579fd93cad3e5cf7bf433bf926e9a7d593b6a7cb0005519b7f9
timing,MIXED_SCALAR_ONLY,online_merge_mixed_scalar_mapped_top,1,PASS,58.6,31901,37001.664,3521.84,33479.82399999999,16531.92,1500,False,741dfc7e45fc6e027bf814e2331c15b7d4e7485c585714d676f3a9b0077eae54
timing,DUAL_SCALAR,online_merge_dual_scalar_mapped_top,1,PASS,161.8,84968,95060.686,4208.12,90852.566,16780.43,1500,False,1f1ca4313bbbe0ba4f5352f53d29fa16a986a7c2a81004e2ac01eea45f1a61c5
