workload,sequence_length,head_dimension,seed,model,model_role,lut_entries,lut_q_bits,lut_input_scale,lut_output_scale,probability_mae,probability_stable_relative_error,probability_cosine_similarity,output_mae,output_stable_relative_error,output_cosine_similarity,probability_sum,probability_sum_error,tile_size,tile_count,merge_count,tile_lengths,final_m,final_l,reciprocal_overflow_count,reciprocal_unsupported_count,ab_probability_mae,ab_probability_stable_relative_error,ab_probability_cosine_similarity,ab_output_mae,ab_output_stable_relative_error,ab_output_cosine_similarity,ab_probability_sum_error,optimized_vs_fp32_probability_mae,optimized_vs_fp32_probability_stable_relative_error,optimized_vs_fp32_probability_cosine_similarity,optimized_vs_fp32_output_mae,optimized_vs_fp32_output_stable_relative_error,optimized_vs_fp32_output_cosine_similarity,optimized_vs_fp32_probability_sum_error
random_scores,128,64,4281248938,fp32,primary,NA,NA,NA,NA,5.015804518857761e-10,6.420229784137935e-08,0.9999999999999984,1.3535497507164655e-08,1.2867584973658042e-07,0.9999999999999916,1.0000000153086148,1.5308614820241928e-08,32,4,3,"[6.930357456207275, 4.679684162139893, 8.659648895263672, 6.518242359161377]",2.418109893798828,18.526039123535156,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,128,64,4281248938,fp16,primary,NA,NA,NA,NA,7.481308706936707e-06,0.0009576075144878985,0.9999998651505206,0.00012322185034414738,0.0011714143710457728,0.999999507826621,1.0009007453918457,0.0009007453918457031,32,4,3,"[6.92578125, 4.67578125, 8.6484375, 6.5234375]",2.41796875,18.515625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,128,64,4281248938,mixed,primary,256,14,32.0,16384,6.879527914752475e-05,0.008805795730883168,0.999948684851958,0.0009889534944997177,0.00940153335238347,0.999955598227593,0.9997424252214842,0.00025757477851584554,32,4,3,"[6.92987060546875, 4.6751708984375, 8.682373046875, 6.51171875]",2.41796875,18.560163497924805,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,128,64,4281248938,mixed_exact_exp,diagnostic,256,14,32.0,16384,3.392141034360403e-06,0.00043419405239813157,0.9999999133975812,5.714545596693655e-05,0.0005432559904974059,0.9999998931448968,0.9997462347964756,0.0002537652035243809,32,4,3,"[6.930333137512207, 4.680022239685059, 8.659154891967773, 6.520475387573242]",2.41796875,18.527584075927734,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,128,64,4281248938,mixed_rtl_exact,diagnostic,256,14,32.0,16384,6.879527914752475e-05,0.008805795730883168,0.999948684851958,0.0009889534944997177,0.00940153335238347,0.999955598227593,0.9997424252214842,0.00025757477851584554,32,4,3,"[6.92987060546875, 4.6751708984375, 8.682373046875, 6.51171875]",2.41796875,18.560161590576172,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,128,64,4281248938,mixed_rtl_reciprocal,diagnostic,256,14,32.0,16384,6.877633255389742e-05,0.00880337056689887,0.999948715031306,0.0009882601393948318,0.00939494193915738,0.9999555874411907,0.9997714042547159,0.0002285957452841103,32,4,3,"[6.92987060546875, 4.6751708984375, 8.682373046875, 6.51171875]",2.41796875,18.560161590576172,0,0,2.2639869712293148e-07,2.8986499422904033e-05,0.9999999933494615,1.1530835763551295e-05,0.00010947988664135758,0.9999999941831397,2.897903323173523e-05,6.877621399326017e-05,0.008803355256370127,0.9999487153223031,0.0009882617887342349,0.009394957414080437,0.999955587453086,0.00022861105389893055
random_scores,128,128,2904950224,fp32,primary,NA,NA,NA,NA,5.357523414084078e-10,6.857629970027621e-08,0.999999999999998,1.489267562134553e-08,1.294446201697404e-07,0.9999999999999921,0.9999999669671524,3.3032847568392754e-08,32,4,3,"[7.153652667999268, 4.346728801727295, 6.4297051429748535, 6.519138813018799]",2.6776676177978516,16.064563751220703,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,128,128,2904950224,fp16,primary,NA,NA,NA,NA,5.1868924264542795e-06,0.0006639222305861479,0.9999996450893366,0.00013883935275640018,0.0012067681952600722,0.9999993283428312,1.0001888275146484,0.0001888275146484375,32,4,3,"[7.140625, 4.34765625, 6.42578125, 6.5078125]",2.677734375,16.0625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,128,128,2904950224,mixed,primary,256,14,32.0,16384,5.38699880485692e-05,0.006895358470216858,0.9999664095069715,0.0008783712237698067,0.0076346542635996805,0.9999734110205188,1.0001403630012646,0.00014036300126463175,32,4,3,"[7.1651611328125, 4.34918212890625, 6.4476318359375, 6.52703857421875]",2.677734375,16.01743507385254,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,128,128,2904950224,mixed_exact_exp,diagnostic,256,14,32.0,16384,3.686971576578074e-06,0.0004719323618019935,0.9999998883413629,4.996783181865989e-05,0.0004343119513864439,0.9999999119860581,1.0000285483838525,2.854838385246694e-05,32,4,3,"[7.150312900543213, 4.346209526062012, 6.430081844329834, 6.513937473297119]",2.677734375,16.063457489013672,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
