case,model,model_role,m_old,l_old,m_tile,l_tile,m_new,l_new,old_delta,tile_delta,old_exp,tile_exp,w_old,w_tile,weight_sum_error,vector_update_l2
old_l_zero,fp32,primary,-0.5,0.0,0.0,1.25,0.0,1.25,-0.5,0.0,0.60653067,1.0,0.0,1.0,0.0,1.095445156097412
old_l_zero,fp16,primary,-0.5,0.0,0.0,1.25,0.0,1.25,-0.5,0.0,0.6064,1.0,0.0,1.0,0.0,1.0947265625
old_l_zero,mixed,primary,-0.5,0.0,0.0,1.25,0.0,1.25,-0.5,0.0,0.61608887,1.0,0.0,1.0,0.0,1.095445156097412
old_l_zero,mixed_exact_exp,diagnostic,-0.5,0.0,0.0,1.25,0.0,1.25,-0.5,0.0,0.60653067,1.0,0.0,1.0,0.0,1.095445156097412
old_l_zero,mixed_rtl_exact,diagnostic,-0.5,0.0,0.0,1.25,0.0,1.25,-0.5,0.0,0.61608887,1.0,0.0,1.0,0.0,1.095445156097412
old_l_zero,mixed_rtl_reciprocal,diagnostic,-0.5,0.0,0.0,1.25,0.0,1.25,-0.5,0.0,0.61608887,1.0,0.0,1.0,0.0,1.095445156097412
tile_l_zero,fp32,primary,0.0,1.25,-0.5,0.0,0.0,1.25,0.0,-0.5,1.0,0.60653067,1.0,0.0,0.0,1.3693064451217651
tile_l_zero,fp16,primary,0.0,1.25,-0.5,0.0,0.0,1.25,0.0,-0.5,1.0,0.6064,1.0,0.0,0.0,1.369140625
tile_l_zero,mixed,primary,0.0,1.25,-0.5,0.0,0.0,1.25,0.0,-0.5,1.0,0.61608887,1.0,0.0,0.0,1.3693064451217651
tile_l_zero,mixed_exact_exp,diagnostic,0.0,1.25,-0.5,0.0,0.0,1.25,0.0,-0.5,1.0,0.60653067,1.0,0.0,0.0,1.3693064451217651
tile_l_zero,mixed_rtl_exact,diagnostic,0.0,1.25,-0.5,0.0,0.0,1.25,0.0,-0.5,1.0,0.61608887,1.0,0.0,0.0,1.3693064451217651
tile_l_zero,mixed_rtl_reciprocal,diagnostic,0.0,1.25,-0.5,0.0,0.0,1.25,0.0,-0.5,1.0,0.61608887,1.0,0.0,0.0,1.3693064451217651
