case_id,split,entries,q_bits,rom_bits,sequence_length,head_dimension,score_scale,repetition,seed,probability_stable_relative_error,output_stable_relative_error,case_worst_error,probability_sum_error
random_scores_L256_D64_scale1_R1,final_test,256,12,4096,256,64,2.0,1,3504234577,0.007537156719067076,0.005561226223133908,0.007537156719067076,0.00023317721206694841
random_scores_L256_D128_scale0_R0,final_test,256,12,4096,256,128,1.0,0,1871249097,0.007997275111650513,0.008546190678729465,0.008546190678729465,0.00039435329381376505
random_scores_L256_D128_scale0_R1,final_test,256,12,4096,256,128,1.0,1,4090941081,0.010329999754006744,0.011116346118586444,0.011116346118586444,0.0003935482818633318
random_scores_L256_D128_scale1_R0,final_test,256,12,4096,256,128,2.0,0,3217101173,0.012424294697947456,0.010285159732005294,0.012424294697947456,8.959669685282279e-05
random_scores_L256_D128_scale1_R1,final_test,256,12,4096,256,128,2.0,1,3837859703,0.006843859563656677,0.0049353824065881055,0.006843859563656677,0.0008297623708131141
random_scores_L512_D64_scale0_R0,final_test,256,12,4096,512,64,1.0,0,704213214,0.011945695286154825,0.014416980205063865,0.014416980205063865,0.0003464159381110221
random_scores_L512_D64_scale0_R1,final_test,256,12,4096,512,64,1.0,1,1267423294,0.009060396785763664,0.009921323182420306,0.009921323182420306,0.00015979670570231974
random_scores_L512_D64_scale1_R0,final_test,256,12,4096,512,64,2.0,0,3565306119,0.008411177915211086,0.005956361166536845,0.008411177915211086,0.0005566147954141343
random_scores_L512_D64_scale1_R1,final_test,256,12,4096,512,64,2.0,1,771629024,0.012542334700319024,0.009911867076309772,0.012542334700319024,0.0002433523418403638
random_scores_L512_D128_scale0_R0,final_test,256,12,4096,512,128,1.0,0,1715525944,0.009891387435620727,0.011302458958673251,0.011302458958673251,0.0006371127565216739
random_scores_L512_D128_scale0_R1,final_test,256,12,4096,512,128,1.0,1,1529591353,0.011980934579435078,0.012953078094250123,0.012953078094250123,0.00020155934907961637
random_scores_L512_D128_scale1_R0,final_test,256,12,4096,512,128,2.0,0,3721455576,0.009521048754416624,0.008501281807766613,0.009521048754416624,0.0003509289406338212
