config,formula,fit_point_count,C0_cycles,C0_numerator,C0_denominator,Cs_cycles_per_row,Cs_numerator,Cs_denominator,Cv_cycles_per_element,Cv_numerator,Cv_denominator,R_squared,R_squared_numerator,R_squared_denominator,sum_squared_residuals
B2R_RVV,"C(N,D) = C0 + Cs*N + Cv*N*D + Cstall",23,153.47736274083394,795691779023,5184424366,1594.2338080493466,4132592299776,2592212183,2.086684453137608,10818257723,5184424366,0.999946202514682,121884015826257619789,121890573232581494308,164977.59595852092
A2_SMU_FULL,"C(N,D) = C0 + Cs*N + Cv*N*D + Cstall",23,1285.5770845769534,3332488580826,2592212183,19.317262422475853,200297771975,10368848732,8.029464672201952,83256304585,10368848732,0.9999870109287305,85516093803141941725,85517204592207153568,4657.718325014619
