case_id,evidence_class,size_class,case_kind,N,D,config,trials,status,kernel_cycles_min,kernel_cycles_median,kernel_cycles_max,cycles_per_element,elements_per_cycle,tcdm_accessed,tcdm_congested,max_abs_error,max_rel_error,mean_abs_error,l2_relative_error,memory_footprint_bytes,paper_eligible,paper_ineligible_reasons,reproducible,input_hash,binary_hash,target_result_hash,trace_witness_gate,trace_target_equivalence_gate,fsm_gate
break_even_n1_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,1,32,B1_SCALAR,3,PASS,12754,12754,12754,398.5625,0.00250901677904971,226,0,1.9073486328125e-06,1.9073486328125e-06,9.29569496827967e-07,1.2227309280649424e-06,17280,YES,NA,YES,de9631aea65ed083a3ed77c2c76cdfbab767c09868e8093506d96898e6e75934,3e6d22e59a20b716ba9f139c7f2ebd34e642432060601d9d4b5302515e82d991,194700a810b744988808566e386051ee0d3f31b9d587b0a6bf0a1ba0013f5c06,NA,NA,NA
break_even_n1_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,1,32,B2R_RVV,3,PASS,1873,1873,1873,58.53125,0.017084890549919914,162,0,1.9073486328125e-06,1.9073486328125e-06,9.374583468717688e-07,1.2327408897041608e-06,17280,YES,NA,YES,de9631aea65ed083a3ed77c2c76cdfbab767c09868e8093506d96898e6e75934,6c7de16f22e67c361bea209dfd9d0c91197a85dc99ce747c277ccd82f8babcd7,db282537d987bf6a65cfb797a5c25ba42841eb020328fe1eb5ebb1a1d57530db,PASS,PASS,NA
break_even_n1_d8,MAIN_PERFORMANCE,BREAK_EVEN,main,1,8,A1_SMU_SCALAR,3,PASS,1483,1483,1483,185.375,0.005394470667565745,405,0,1.9073486328125e-06,1.9073486328125e-06,9.953975677490234e-07,8.580477502713649e-07,16768,YES,NA,YES,06d68f478fb0abb6fe7f4d9b035780cd1093ee8d318bcd4dc0009e1e637603f3,7f6b264304813a5c8f631b165d7bc8b6085543a662abeb9068cdebb94eed1eb9,f6b0ba7cd60513e20f6eb4eecef4d2084fc68496c2ef37dee7aa6908083183df,NA,NA,PASS
break_even_n1_d8,MAIN_PERFORMANCE,BREAK_EVEN,main,1,8,A2_SMU_FULL,3,PASS,1380,1380,1380,172.5,0.005797101449275362,410,0,1.9073486328125e-06,1.9073486328125e-06,9.834766387939453e-07,8.487090633924091e-07,16768,YES,NA,YES,06d68f478fb0abb6fe7f4d9b035780cd1093ee8d318bcd4dc0009e1e637603f3,4f98b4b80a3017af1f0590e3d933b7f4e22819ffb96e340069d842aedb45b5e6,84cff9e8a9cebe1c102ae2fad6b67832ffeaf243a0c098eba845a019100615bf,NA,NA,PASS
break_even_n1_d8,MAIN_PERFORMANCE,BREAK_EVEN,main,1,8,B1_SCALAR,3,PASS,4625,4625,4625,578.125,0.0017297297297297297,154,0,1.9073486328125e-06,1.9073486328125e-06,9.834766387939453e-07,8.487090633924091e-07,16768,YES,NA,YES,06d68f478fb0abb6fe7f4d9b035780cd1093ee8d318bcd4dc0009e1e637603f3,1e4a247cc56023119422257bd0f0d9769f4a55f428d18a98ff6c0ac6653422b8,687eca0b1bef3545b36ba623e8f16f0fb5c0873e86fb79f87d0ad646a38f887c,NA,NA,NA
break_even_n1_d8,MAIN_PERFORMANCE,BREAK_EVEN,main,1,8,B2R_RVV,3,PASS,1841,1841,1841,230.125,0.0043454644215100485,126,0,1.9073486328125e-06,1.9073486328125e-06,9.953975677490234e-07,8.580477502713649e-07,16768,YES,NA,YES,06d68f478fb0abb6fe7f4d9b035780cd1093ee8d318bcd4dc0009e1e637603f3,e9c4e28b09c5d7a46297bd4f55713334f752b06e4a20be118f58c45ba5fb6eea,8e457a2967c3be4845a0b3d3ed15e4f0b88d7ed0565bfaefd3b26b4b46ff03d2,PASS,PASS,NA
break_even_n2_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,2,1,A1_SMU_SCALAR,3,PASS,1591,1591,1591,795.5,0.001257071024512885,416,0,1.2516975402832031e-06,1.2516975402832031e-06,2.5580326716105145e-07,2.0885720705978632e-07,16768,YES,NA,YES,df48b468b679109c672e2d05f7672a2ac1f971c29699e1e2aa32f345d8595640,71bf6b475b0923f3bcb7c6efdc7666ea87b44c0fbb5b2204ce574631fd16df15,2167ecdec4c68856faa1304e48f5b1861a06e1a313c98b4ff02cbb55c1f67583,NA,NA,PASS
break_even_n2_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,2,1,A2_SMU_FULL,3,PASS,1337,1337,1337,668.5,0.0014958863126402393,387,0,1.2516975402832031e-06,1.2516975402832031e-06,2.5580326716105145e-07,2.0885720705978632e-07,16768,YES,NA,YES,df48b468b679109c672e2d05f7672a2ac1f971c29699e1e2aa32f345d8595640,1b20f08e19d13af47d33dc1bdd5795482d35f4a7bd6c9c9d1d2448715a57897f,6008f7d43bb5942c2042640e18c2091bf0a759a62595fcd0e922d84dd5665dd1,NA,NA,PASS
break_even_n2_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,2,1,B1_SCALAR,3,PASS,3930,3930,3930,1965.0,0.0005089058524173028,193,0,1.2516975402832031e-06,1.2516975402832031e-06,2.5580326716105145e-07,2.0885720705978632e-07,16768,YES,NA,YES,df48b468b679109c672e2d05f7672a2ac1f971c29699e1e2aa32f345d8595640,47aa10dc04d97cce44516b1355557d2569c5038e3eed49f8ae10e328bd9d4d81,bcbcdd1dd9943e507a4c120cfbd63d6212e60fdb1812e696b1d3744bd12645a8,NA,NA,NA
break_even_n2_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,2,1,B2R_RVV,3,PASS,3240,3240,3240,1620.0,0.0006172839506172839,165,0,1.2516975402832031e-06,1.2516975402832031e-06,2.5580326716105145e-07,2.0885720705978632e-07,16768,YES,NA,YES,df48b468b679109c672e2d05f7672a2ac1f971c29699e1e2aa32f345d8595640,3d5b7030c7c8d37d26d65b9c41d7a41ebd7b4b2f40e515be38f89410434bcbf2,2008d608f5ee40885a771781441d9d2e63715d6adbc9ff3c49df1a2e94939b61,PASS,PASS,NA
break_even_n2_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,2,16,A1_SMU_SCALAR,3,PASS,1637,1637,1637,51.15625,0.019547953573610263,458,0,1.9073486328125e-06,1.9073486328125e-06,8.688204818301731e-07,1.0024064933510527e-06,17280,YES,NA,YES,420821667acdaaa287079acae03067b1ae5cdcd2c48334153b2136b232d9c06d,5277fcdd906675dfad441a06c20e9e8ddbc60faa10b2c729cda4ab66c8def8e0,1917f1e9e798da7bcb840dd7b03532022771d8a400f4f80344ed51a5f9749db0,NA,NA,PASS
break_even_n2_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,2,16,A2_SMU_FULL,3,PASS,1588,1588,1588,49.625,0.020151133501259445,523,2,1.9073486328125e-06,1.9073486328125e-06,8.663369549645317e-07,9.997020246476173e-07,17280,YES,NA,YES,420821667acdaaa287079acae03067b1ae5cdcd2c48334153b2136b232d9c06d,b9e3e24acf64a3da5648b9683473a0b9c51f6bd13fde379560852b1f1187ce90,b8a3ce012f183169fea1f7d1dd35c83ffcdc97a4e6cccad4e0721dfbf28846ca,NA,NA,PASS
break_even_n2_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,2,16,B1_SCALAR,3,PASS,14177,14177,14177,443.03125,0.0022571771178669675,283,0,1.9073486328125e-06,1.9073486328125e-06,8.663369549645317e-07,9.997020246476173e-07,17280,YES,NA,YES,420821667acdaaa287079acae03067b1ae5cdcd2c48334153b2136b232d9c06d,ee53510fb9231c4c2bdf091a317124ed4397e60d4be96d301a39762a69f577f5,78abc585bf386ab91f9e2ca006300dc13805c65c7b22a9b1ca70617b9a27ceee,NA,NA,NA
break_even_n2_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,2,16,B2R_RVV,3,PASS,3326,3326,3326,103.9375,0.009621166566446182,207,0,1.9073486328125e-06,1.9073486328125e-06,8.688204818301731e-07,1.0024064933510527e-06,17280,YES,NA,YES,420821667acdaaa287079acae03067b1ae5cdcd2c48334153b2136b232d9c06d,e0345bc079aa6b944373efe8211d0ce8b5c96c98a8bf075ed9a9cbadb14784a4,8cacbc4cc2f485edef5a333cf1f559df8f57d1902fcee0d4f4b755deef0535af,PASS,PASS,NA
break_even_n2_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,2,32,A1_SMU_SCALAR,3,PASS,1670,1670,1670,26.09375,0.03832335329341317,506,0,9.900331497192383e-05,9.900331497192383e-05,1.9536134512985452e-06,1.4873360604039985e-05,17792,YES,NA,YES,82bd5df02e212d5062cf88a52f4b5c2f9f6c92170f2b7f2e2a46676594a1b22f,55d66bf25dfddadfa7b7c4f46fe4c0951af4d6e24245197b34e018dd7b8efbfb,b4d4cc924ca129199c4c1bf2d621455fd2b0d95cc7b12a58d0ea821a717d2982,NA,NA,PASS
break_even_n2_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,2,32,A2_SMU_FULL,3,PASS,1826,1826,1826,28.53125,0.03504928806133625,662,1,9.900331497192383e-05,9.900331497192383e-05,1.9678298164816464e-06,1.4873074025348353e-05,17792,YES,NA,YES,82bd5df02e212d5062cf88a52f4b5c2f9f6c92170f2b7f2e2a46676594a1b22f,a2f569a28c445148f4f941430b8b543344557a32cab97abd66dbc7e3e194beba,bf6cf7385510f439d0f2a9cf2425ccb1c49f1e7382a8076a4b01232c913e12a6,NA,NA,PASS
break_even_n2_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,2,32,B1_SCALAR,3,PASS,24386,24386,24386,381.03125,0.0026244566554580497,379,0,9.900331497192383e-05,9.900331497192383e-05,1.9678298164816464e-06,1.4873074025348353e-05,17792,YES,NA,YES,82bd5df02e212d5062cf88a52f4b5c2f9f6c92170f2b7f2e2a46676594a1b22f,83dab3b4fa38f610670f306dc913929b0063f6f6eac94732eddaa66ddf728f23,4569aeefb4ced99da0b177902b9a7fa01d2f8b59566d01be2ece3537665678fb,NA,NA,NA
break_even_n2_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,2,32,B2R_RVV,3,PASS,3290,3290,3290,51.40625,0.019452887537993922,255,0,9.900331497192383e-05,9.900331497192383e-05,1.9536134512985452e-06,1.4873360604039985e-05,17792,YES,NA,YES,82bd5df02e212d5062cf88a52f4b5c2f9f6c92170f2b7f2e2a46676594a1b22f,8e09b78d94bffc83eb660bf006aabd7cbf782d0c9f1846f10406b3fca7aa9038,4b9651065ba518113dfb7851f5eb6fe6477d4da5906df8e64a1d4696988fc202,PASS,PASS,NA
break_even_n2_d8,MAIN_PERFORMANCE,BREAK_EVEN,main,2,8,A1_SMU_SCALAR,3,PASS,1582,1582,1582,98.875,0.010113780025284451,434,0,3.1575560569763184e-05,3.1575560569763184e-05,2.5644898414611816e-06,5.581109849307985e-06,17024,YES,NA,YES,581d67a5572269811b106a8332b763cd7ee8078b07aef9ef22b2c59b179c598b,9dbe28a17ffe7cf2c196a8641857d01663ecd8f452103213058b76818537a5e7,0dfd8c8cb837a254094b1616c77902bb0c7939096ab9b406e84df627b19e6a02,NA,NA,PASS
break_even_n2_d8,MAIN_PERFORMANCE,BREAK_EVEN,main,2,8,A2_SMU_FULL,3,PASS,1459,1459,1459,91.1875,0.010966415352981495,451,0,3.1575560569763184e-05,3.1575560569763184e-05,2.5682151317596435e-06,5.582126534760818e-06,17024,YES,NA,YES,581d67a5572269811b106a8332b763cd7ee8078b07aef9ef22b2c59b179c598b,9cc98d65ec688fee818162cf628647fb3d3be984fd845dc4d25632f028b79c0c,b27af02ae35e495a900f2452ea39c8bebaeef34c0bd4a64ce9eb90fa422e7673,NA,NA,PASS
break_even_n2_d8,MAIN_PERFORMANCE,BREAK_EVEN,main,2,8,B1_SCALAR,3,PASS,8999,8999,8999,562.4375,0.0017779753305922881,235,0,3.1575560569763184e-05,3.1575560569763184e-05,2.5682151317596435e-06,5.582126534760818e-06,17024,YES,NA,YES,581d67a5572269811b106a8332b763cd7ee8078b07aef9ef22b2c59b179c598b,9545f210a7893ceae244c97497004d13b2a24bdb5441c180b4fd6865e65fff90,d8440b1d158be66a934c4ccc0ce356e1e2c0d1e6525d30e000944bc21b94cb1b,NA,NA,NA
break_even_n2_d8,MAIN_PERFORMANCE,BREAK_EVEN,main,2,8,B2R_RVV,3,PASS,3332,3332,3332,208.25,0.004801920768307323,183,0,3.1575560569763184e-05,3.1575560569763184e-05,2.5644898414611816e-06,5.581109849307985e-06,17024,YES,NA,YES,581d67a5572269811b106a8332b763cd7ee8078b07aef9ef22b2c59b179c598b,a2559c858b2d7a2c6e6361553aca44a130830b219f4ce95ef0ee0e78e8868e29,45e4d87af147e1687bdefc52bfd060eb0ce15f4e7db7ff314b8d7ca7cce6b762,PASS,PASS,NA
break_even_n4_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,4,1,A1_SMU_SCALAR,3,PASS,1858,1858,1858,464.5,0.002152852529601722,467,0,1.615285873413086e-05,1.615285873413086e-05,1.8154581387837727e-06,1.5943950688438268e-06,16768,YES,NA,YES,05bc6e4bb451a842c57c3e716bbd4d8237c14e39a43b742f582bef7f3f94d854,8d88a5013cbf9c34e60cf110527c4805eade913c2814eb7505247848309f9ab6,554614c2026c7ef80d16aadd303ee71f31e0950e526e50efcecf85fdf0cf840d,NA,NA,PASS
break_even_n4_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,4,1,A2_SMU_FULL,3,PASS,1380,1380,1380,345.0,0.002898550724637681,416,0,1.6182661056518555e-05,1.6182661056518555e-05,1.817941665649414e-06,1.5971972144218042e-06,16768,YES,NA,YES,05bc6e4bb451a842c57c3e716bbd4d8237c14e39a43b742f582bef7f3f94d854,aab4bf278584aa5a0dd35e95dc75c021edf6324621c1c04c1be6a51de0f9b371,a149d85368ae6bdd03af2b35dad8f4e24005b91286a2b8acf5bf3e8ab6b86811,NA,NA,PASS
break_even_n4_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,4,1,B1_SCALAR,3,PASS,7505,7505,7505,1876.25,0.0005329780146568954,314,0,1.6182661056518555e-05,1.6182661056518555e-05,1.817941665649414e-06,1.5971972144218042e-06,16768,YES,NA,YES,05bc6e4bb451a842c57c3e716bbd4d8237c14e39a43b742f582bef7f3f94d854,fc5872d8df989b2471edea6ad3b207a42dff3e42f4212f3e8f9544444a8bf211,7e73d20f5e521c30b6770574ef12aac63ebc2b9476423020f532adf29d656779,NA,NA,NA
break_even_n4_d1,MAIN_PERFORMANCE,BREAK_EVEN,main,4,1,B2R_RVV,3,PASS,6450,6450,6450,1612.5,0.00062015503875969,262,0,1.615285873413086e-05,1.615285873413086e-05,1.8154581387837727e-06,1.5943950688438268e-06,16768,YES,NA,YES,05bc6e4bb451a842c57c3e716bbd4d8237c14e39a43b742f582bef7f3f94d854,fc7c6e18f352cae179310fa22d1c8e0a638455d7d8d0d66af4aa9c55d646b29b,ec5d81ec9c3b4d4958aee9be463dc3e632901a350f1a0d509e6c49428237776d,PASS,PASS,NA
break_even_n4_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,4,16,A1_SMU_SCALAR,3,PASS,1839,1839,1839,28.734375,0.034801522566612286,551,0,2.288818359375e-05,6.794929504394531e-06,1.7304361487428348e-06,2.629442946263261e-06,17792,YES,NA,YES,c5e06006cbf53bcdc3ebda812a88eafa1c21069d2e24eef6d321ada15c1cff5d,c394ff533e1cd2be325b54c3df2aa4e7dc8429a1d68aae04cd8e457f8b1f50d6,8f9aec1a88392ad2b019a104ca9f925f5f7e60914c22d3a0c0ed6c7b14205fd7,NA,NA,PASS
break_even_n4_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,4,16,A2_SMU_FULL,3,PASS,1860,1860,1860,29.0625,0.034408602150537634,687,3,2.288818359375e-05,6.794929504394531e-06,1.7268143387304412e-06,2.6281022292030256e-06,17792,YES,NA,YES,c5e06006cbf53bcdc3ebda812a88eafa1c21069d2e24eef6d321ada15c1cff5d,96be97286f33f166926012d1e01b2b11c0b33b459ed9c84eb54360832c31fb9b,7b9b978c5d1ec69bf9306ccc6b823902ad5688faa48b146f31ce4248776cf119,NA,NA,PASS
break_even_n4_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,4,16,B1_SCALAR,3,PASS,28130,28130,28130,439.53125,0.0022751510842516885,493,0,2.288818359375e-05,6.794929504394531e-06,1.7268143387304412e-06,2.6281022292030256e-06,17792,YES,NA,YES,c5e06006cbf53bcdc3ebda812a88eafa1c21069d2e24eef6d321ada15c1cff5d,383ff5ca7e95c99fbb8c2669c9fd69a08129a8908b7b2782ac390a73d5b8ca58,c06e8d778446d219c15e601e884c1286eb063c4e3942d3d3a3463891ba91c62c,NA,NA,NA
break_even_n4_d16,MAIN_PERFORMANCE,BREAK_EVEN,main,4,16,B2R_RVV,3,PASS,6746,6746,6746,105.40625,0.009487103468722205,345,0,2.288818359375e-05,6.794929504394531e-06,1.7304361487428348e-06,2.629442946263261e-06,17792,YES,NA,YES,c5e06006cbf53bcdc3ebda812a88eafa1c21069d2e24eef6d321ada15c1cff5d,4f2637b24e1df508cb6f773900c8337935338a83e540a0dd17d132d171da5009,d547c800c23828e5c73e871a93c3e163ea3148ca41957da07db2795d7a10b9b3,PASS,PASS,NA
break_even_n4_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,4,32,A1_SMU_SCALAR,3,PASS,2053,2053,2053,16.0390625,0.062347783731125185,647,0,9.900331497192383e-05,9.900331497192383e-05,2.6089563856230063e-06,1.107952878059458e-05,18816,YES,NA,YES,2b520e291f54699a86aa919a7fe76b811e31faea66cc9770ec0476f6b772433f,f8f38f05e53c5df1a860c095ce14bae490a0c37da9badfe4978cfe79d34f945e,c2846ea8e34bde880c2964a1e10b868f1b8aedf5323fe18095acce98da7d176e,NA,NA,PASS
break_even_n4_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,4,32,A2_SMU_FULL,3,PASS,2378,2378,2378,18.578125,0.05382674516400336,971,7,9.900331497192383e-05,9.900331497192383e-05,2.61535238036338e-06,1.1079883845606094e-05,18816,YES,NA,YES,2b520e291f54699a86aa919a7fe76b811e31faea66cc9770ec0476f6b772433f,681246425a9c8fe3782f9e765f59a0bd5ed8480f6bac43f06fc3487692f80956,9ba34c98f5e34c283523f8358766657587652b5f58b8a9f3a003dd84a58bad36,NA,NA,PASS
break_even_n4_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,4,32,B1_SCALAR,3,PASS,48643,48643,48643,380.0234375,0.002631416647821886,685,0,9.900331497192383e-05,9.900331497192383e-05,2.61535238036338e-06,1.1079883845606094e-05,18816,YES,NA,YES,2b520e291f54699a86aa919a7fe76b811e31faea66cc9770ec0476f6b772433f,d3329a7cad2f336d2603ef08abe4d5779017f6bdf541794c60f1cfd0e3ae4057,980cf4a037a7340476df56d356bb878329b1e48a2cef573f1d5c852dee0bac2c,NA,NA,NA
break_even_n4_d32,MAIN_PERFORMANCE,BREAK_EVEN,main,4,32,B2R_RVV,3,PASS,6664,6664,6664,52.0625,0.01920768307322929,441,0,9.900331497192383e-05,9.900331497192383e-05,2.6089563856230063e-06,1.107952878059458e-05,18816,YES,NA,YES,2b520e291f54699a86aa919a7fe76b811e31faea66cc9770ec0476f6b772433f,42787de117774ea54c8671ba47f6ac5f21eb7934e1c824cc33fd2458e67281f8,d9f0dc019b079b8346eded5ae1c71016b6adc086000b950ff3145c0f4cbc02ff,PASS,PASS,NA
