design,role,mapped_cells,liberty_area,area_units,relative_to_A1,delta_vs_A1,delta_percent_vs_A1,status
A1,Proposed Scalar SMU + RVV,73505,77103.292,Nangate45 Liberty cell-area units,1.000000000000,0.000,0.000000,VERIFIED_P0_6_STANDALONE
A2,Full-Offload ablation,107372,114713.298,Nangate45 Liberty cell-area units,1.487787291884,37610.006,48.778729,VERIFIED_P0_6_STANDALONE
