n,d,checkpoint,mae,stable_relative_error,cosine_similarity,elements
8,32,fused_score_vs_staged_dequant,6.148184183984995e-09,1.1492310608976615e-07,0.9999999999999925,64
16,64,fused_score_vs_staged_dequant,1.4222223398974165e-08,1.5697799732535206e-07,0.9999999999999831,256
