n,d,stage,mae,stable_relative_error,cosine_similarity,elements,saturation_ratio
8,32,Q,0.0015573909916467002,0.007769249096999418,0.9999700683644452,256,0.00390625
8,32,K,0.001852605333288441,0.009208012370442033,0.9999601561076328,256,0.00390625
8,32,V,0.0015736551828768714,0.008795634878688728,0.999962200826074,256,0.00390625
16,64,Q,0.0026951912841297184,0.00959530646999181,0.9999562956347267,1024,0.0009765625
16,64,K,0.0026973476454490177,0.010084385986839951,0.9999526015540385,1024,0.0009765625
16,64,V,0.0032471559684015645,0.012073411419180002,0.9999331273929727,1024,0.0009765625
