case,n,d,seed,sX,sWQ,sWK,sWV,sQ,sK,sV,sScore,maxabs_X,maxabs_Q,maxabs_K,maxabs_V
N8_D32,8,32,1,0.003936512395739555,0.001967943273484707,0.0019637371879070997,0.001967508578673005,0.005218986887484789,0.00656099570915103,0.005062687210738659,6.0531438066391274e-06,0.4999370872974396,85559,107790,83015
N16_D64,16,64,1,0.003936512395739555,0.0019683397840708494,0.0019683882128447294,0.0019684804137796164,0.009366893209517002,0.009065356105566025,0.011954735033214092,1.0614277925924398e-05,0.4999370872974396,153528,148582,195930
