n,d,seed,baseline,score_mae,score_stable_relative_error,score_cosine,probability_mae,probability_stable_relative_error,probability_cosine,output_mae,output_stable_relative_error,output_cosine
8,32,1,REF,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8,32,1,B-Q,0.00058666884797276,0.010943028866203377,0.9999434867120907,6.826675962656736e-05,0.0005461340765039119,0.9999997547248538,0.0006302640726971731,0.011021349813444999,0.9999412320073764
8,32,1,P-QM,0.00058666884797276,0.010943028866203377,0.9999434867120907,0.0009134546853601933,0.007307637476075778,0.9999593889710845,0.0008859689835389872,0.015492829933425569,0.9998803766256594
16,64,1,REF,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
16,64,1,B-Q,0.0012382857698867156,0.013661637744973065,0.999904442516295,7.365575584117323e-05,0.0011784920937331607,0.9999988858202989,0.0008015677116333109,0.012117339300198001,0.999910746485696
16,64,1,P-QM,0.0012382857698867156,0.013661637744973065,0.999904442516295,0.0004872445861110464,0.00779591337959187,0.9999546454868004,0.0010233474687204591,0.01546999501167188,0.9998616715394743
