case,reference_path,test_path,m_mae,l_mae,weight_old_mae,weight_tile_mae,output_mae,output_stable_relative,output_cosine,finite,error,timeout,n,d,seed,mmio_output_hash,isa_output_hash,final_o_hash_match,mmio_output_nonfinite,isa_output_nonfinite,final_o_correctness,reference_metric_basis,pairwise_dump_present,final_o_pairwise_mae,final_o_pairwise_stable_relative_error,final_o_pairwise_cosine,mmio_mae_bits,mmio_mae,mmio_stable_relative_error_bits,mmio_stable_relative_error,mmio_cosine_bits,mmio_cosine,isa_mae_bits,isa_mae,isa_stable_relative_error_bits,isa_stable_relative_error,isa_cosine_bits,isa_cosine,component_hashes_mmio,component_hashes_isa,component_hash_match,component_mae,component_hash_evidence
N8_D32_A1,A1-MMIO,A1-ISA,NA,NA,NA,NA,0.0,0.0,1.0,true,0,false,8,32,1,2625429212,2625429212,true,0,0,"PASS: both status=pass; nonfinite=0; output hash equal; final O arrays bit-identical","each path against generated FP32 reference",true,0.0,0.0,1.0,965841751,0.00027766331913881004,1000282788,0.004855470731854439,1065352977,0.9999857544898987,965841751,0.00027766331913881004,1000282788,0.004855470731854439,1065352977,0.9999857544898987,NA,NA,NA,NA,"component hashes were not emitted in either recovery PHASE5_RESULT; component MAE/hash match are NA"
N16_D64_A1,A1-MMIO,A1-ISA,NA,NA,NA,NA,0.0,0.0,1.0,true,0,false,16,64,1,4245499135,4245499135,true,0,0,"PASS: both status=pass; nonfinite=0; output hash equal; final O arrays bit-identical","each path against generated FP32 reference",true,0.0,0.0,1.0,972444283,0.00046982229105196893,1005107881,0.007102329749614,1065352699,0.9999691843986511,972444283,0.00046982229105196893,1005107881,0.007102329749614,1065352699,0.9999691843986511,NA,NA,NA,NA,"component hashes were not emitted in either recovery PHASE5_RESULT; component MAE/hash match are NA"
