case_id,evidence_class,size_class,case_kind,N,D,config,trials,status,kernel_cycles_min,kernel_cycles_median,kernel_cycles_max,cycles_per_element,elements_per_cycle,tcdm_accessed,tcdm_congested,max_abs_error,max_rel_error,mean_abs_error,l2_relative_error,memory_footprint_bytes,paper_eligible,paper_ineligible_reasons,reproducible,input_hash,binary_hash,target_result_hash,trace_witness_gate,trace_target_equivalence_gate,fsm_gate
model_bert_base_heads,MODEL_WORKLOAD,MODEL_ENCODER_HEAD_SET,main,12,64,A1_SMU_SCALAR,3,PASS,4128,4128,4128,5.375,0.18604651162790697,1777,1,0.0002593994140625,5.791646167894499e-05,5.815534457338579e-06,1.803163466275774e-05,29312,YES,NA,YES,9af41c47fe7b5bd7921757cb4afcce02980725f6ca085a830cc73b1b8699802d,6a4d04bb69aa241b27d61cc367380dde0499ead5fc31c72c4b5bbf851f2d0438,c354feaa292e784c8554a7331a8a672eb7d2792fdbf2a301b8ce1c7b6d4eb9d7,NA,NA,PASS
model_bert_base_heads,MODEL_WORKLOAD,MODEL_ENCODER_HEAD_SET,main,12,64,A2_SMU_FULL,3,PASS,7704,7704,7704,10.03125,0.09968847352024922,3913,24,0.0002593994140625,5.791646167894499e-05,5.815808444914192e-06,1.8033519695214687e-05,29312,YES,NA,YES,9af41c47fe7b5bd7921757cb4afcce02980725f6ca085a830cc73b1b8699802d,49ffd984a5e421bf45ffa14b3a79818793630774f2ff5bfde60a304116eff7c8,5032182c8c39b309a09603a884200b55a3136d02c229b3a89c6ba5789bc28a6e,NA,NA,PASS
model_bert_base_heads,MODEL_WORKLOAD,MODEL_ENCODER_HEAD_SET,main,12,64,B1_SCALAR,3,PASS,271718,271718,271718,353.7994791666667,0.0028264597855129216,3061,0,0.0002593994140625,5.791646167894499e-05,5.815808444914192e-06,1.8033519695214687e-05,29312,YES,NA,YES,9af41c47fe7b5bd7921757cb4afcce02980725f6ca085a830cc73b1b8699802d,01bf808520be320d91af39a1a7348839d9fe38d556db8219bc5e75497ad4f437,8257005dc3c67c6d2190e801e53ea325790aab45eafeddf0ce2bf8462231638f,NA,NA,NA
model_bert_base_heads,MODEL_WORKLOAD,MODEL_ENCODER_HEAD_SET,main,12,64,B2R_RVV,3,PASS,20785,20785,20785,27.063802083333332,0.036949723358191,1761,0,0.0002593994140625,5.791646167894499e-05,5.815534457338579e-06,1.803163466275774e-05,29312,YES,NA,YES,9af41c47fe7b5bd7921757cb4afcce02980725f6ca085a830cc73b1b8699802d,bf308d400671ea4cbec938a0362cf675d06817249ce5cec53ea70d3ede615079,c793a491eae3317ee7dc4feca9fb4b9b4991eb3a6c3842fcc5fa24c797b84672,PASS,PASS,NA
model_mistral_7b_heads,MODEL_WORKLOAD,MODEL_DECODER_HEAD_SET,main,32,128,A1_SMU_SCALAR,3,PASS,12866,12866,12866,3.14111328125,0.31835846416912794,7200,4,0.0007348060607910156,0.00014954394876963488,8.921165807315936e-06,3.001800859982877e-05,83328,YES,NA,YES,7cef7b3c281ce11613c267b383d7dea2ee9597c76ae3b7d0c4c4fb7b5de5a18c,0d6a419d6c41d82b683ac5f85680edc42095f804c772ec7d866ca11d0ff783ce,27f5ab8fc805136ec6f88c369998cffae0d35195f6b805c6544b51442c1249a0,NA,NA,PASS
model_mistral_7b_heads,MODEL_WORKLOAD,MODEL_DECODER_HEAD_SET,main,32,128,A2_SMU_FULL,3,PASS,34728,34728,34728,8.478515625,0.1179451739230592,19037,182,0.0007348060607910156,0.00014954394876963488,8.921130882719388e-06,3.0016377545296636e-05,83328,YES,NA,YES,7cef7b3c281ce11613c267b383d7dea2ee9597c76ae3b7d0c4c4fb7b5de5a18c,a40fff6f6eda2239506e70c915320c6c889bbf134f1378aff1196e24e67d5fae,87cc3dc38e02aa9bf42fe43e2a974419a6fa7cafed3f713e1703b7e5f15b0563,NA,NA,PASS
model_mistral_7b_heads,MODEL_WORKLOAD,MODEL_DECODER_HEAD_SET,main,32,128,B1_SCALAR,3,PASS,1401702,1401702,1401702,342.21240234375,0.002922161771903015,14185,0,0.0007348060607910156,0.00014954394876963488,8.921130882719388e-06,3.0016377545296636e-05,83328,YES,NA,YES,7cef7b3c281ce11613c267b383d7dea2ee9597c76ae3b7d0c4c4fb7b5de5a18c,a953daaf3ea6f1e9663caf8a1d7128649ea86e64b202d899dadc549aaa03c560,da6f3cfe991b94d1ce0fb2665fd5f3141f073afadda9f37ce496b1219b3a3371,NA,NA,NA
model_mistral_7b_heads,MODEL_WORKLOAD,MODEL_DECODER_HEAD_SET,main,32,128,B2R_RVV,3,PASS,59500,59500,59500,14.5263671875,0.06884033613445378,7653,0,0.0007348060607910156,0.00014954394876963488,8.921165807315936e-06,3.001800859982877e-05,83328,YES,NA,YES,7cef7b3c281ce11613c267b383d7dea2ee9597c76ae3b7d0c4c4fb7b5de5a18c,ebe41e4b075032345ab2becb54a07ba80457420e2665a2a9e29adbbe48242c39,6f0ad0a98713d8e802dc5569ab671c245ba60e4a97539efc081f0abfe14082fd,PASS,PASS,NA
model_qwen2_5_14b_heads,MODEL_WORKLOAD,MODEL_DECODER_HEAD_SET_NEAR_CAPACITY,main,40,128,A1_SMU_SCALAR,3,PASS,15733,15733,15733,3.0728515625,0.32543062353015956,8904,3,0.0007348060607910156,0.00014954394876963488,8.493315858336595e-06,2.8570182795356735e-05,100224,YES,NA,YES,a202ff48117ef6598d47c16b2b2cb742a95c9cdd034a2b70aaeb558c0b07c3c0,677d6276039febe9c1040dbf46057097056e8afdad663d5d782cc56ac4d16023,50813fb3e6da6a300377c28b4b6a3d2b8b591c53f289e65dfddd909d8c356209,NA,NA,PASS
model_qwen2_5_14b_heads,MODEL_WORKLOAD,MODEL_DECODER_HEAD_SET_NEAR_CAPACITY,main,40,128,A2_SMU_FULL,3,PASS,43206,43206,43206,8.438671875,0.11850205989908809,23715,211,0.0007348060607910156,0.00014954394876963488,8.494453504681588e-06,2.856961387837042e-05,100224,YES,NA,YES,a202ff48117ef6598d47c16b2b2cb742a95c9cdd034a2b70aaeb558c0b07c3c0,72d7551fe74c8a2e48027e64070d95ff6dad4b332e90e3415743c71473fb6d09,fa56601ed8c4298e1c2e6b60ff7c99daa25784596333260c14a4165943f1f6e1,NA,NA,PASS
model_qwen2_5_14b_heads,MODEL_WORKLOAD,MODEL_DECODER_HEAD_SET_NEAR_CAPACITY,main,40,128,B1_SCALAR,3,PASS,1780547,1780547,1780547,347.7630859375,0.0028755208371360036,17715,0,0.0007348060607910156,0.00014954394876963488,8.494453504681588e-06,2.856961387837042e-05,100224,YES,NA,YES,a202ff48117ef6598d47c16b2b2cb742a95c9cdd034a2b70aaeb558c0b07c3c0,5dbb6d5e6c36e63507b3e905f2a28232dbc378be43028b1e7543ade7bba96e79,1dacb1d5d86f9e0d4d7c256f4af1e8c98b28865d47dfbd33f4d30f509f241b98,NA,NA,NA
