test_name,M,status,test_time_sec,max_cycle_hart0,max_cycle_hart1,max_cycle
spatzBenchmarks-rtl-spatzBenchmarks-rtl-dp-cdotp_ver2_M128,128,PASS,1.45,3404,3392,3404
spatzBenchmarks-rtl-spatzBenchmarks-rtl-dp-cdotp_ver2_M4096,4096,PASS,2.41,5040,5070,5070
