N,D,tile_size,merge_count,recurrence_speedup,merge_speedup,core_speedup
8,32,4,1,8.523776705720193,5.6962899050905955,1.156785064987925
16,64,4,3,14.006090133982948,5.898698315467075,1.1249335522663106
24,64,4,5,17.78369402185558,6.275318905455892,1.1398098984403466
16,128,4,3,13.737474541751528,4.143944357643264,1.0657846769343897
