opcode,opcode_name,format,funct3,funct7_or_imm_rule,rd_rule,rs1_rule,rs2_rule,cfg_id_range_tested,concrete_words_tested,existing_collision_count,colliding_instructions,status,notes,required_words_tested,required_collision_count,required_safe,reserved_words_tested,reserved_collision_count,reserved_safe,full_words_tested,full_collision_count,full_safe,candidate_mask,candidate_match,current_match_count_min,current_match_count_max,hypothetical_match_count_min,hypothetical_match_count_max,omerge_cross_collision_count,omerge_words_matching_candidate,rd_nonzero_words_tested,rd_nonzero_collision_count,rd_nonzero_colliding_instructions
0x2B,custom-1,I-type-like,100,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000402B,0,0,1,1,0,0,4063232,0,
0x2B,custom-1,I-type-like,101,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000502B,0,0,1,1,0,0,4063232,0,
0x2B,custom-1,I-type-like,110,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000602B,0,0,1,1,0,0,4063232,0,
0x2B,custom-1,I-type-like,111,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000702B,0,0,1,1,0,0,4063232,0,
0x5B,custom-2,I-type-like,000,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,1,OMERGE,PARTIALLY_SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,1,no,131072,1,no,0x00007FFF,0x0000005B,0,1,1,2,1,1,4063232,31,OMERGE
0x5B,custom-2,I-type-like,001,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000105B,0,0,1,1,0,0,4063232,0,
0x5B,custom-2,I-type-like,010,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000205B,0,0,1,1,0,0,4063232,0,
0x5B,custom-2,I-type-like,011,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000305B,0,0,1,1,0,0,4063232,0,
0x5B,custom-2,I-type-like,100,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000405B,0,0,1,1,0,0,4063232,0,
0x5B,custom-2,I-type-like,101,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000505B,0,0,1,1,0,0,4063232,0,
0x5B,custom-2,I-type-like,110,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000605B,0,0,1,1,0,0,4063232,0,
0x5B,custom-2,I-type-like,111,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000705B,0,0,1,1,0,0,4063232,0,
0x7B,custom-3,I-type-like,000,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000007B,0,0,1,1,0,0,4063232,0,
0x7B,custom-3,I-type-like,001,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000107B,0,0,1,1,0,0,4063232,0,
0x7B,custom-3,I-type-like,010,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000207B,0,0,1,1,0,0,4063232,0,
0x7B,custom-3,I-type-like,011,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000307B,0,0,1,1,0,0,4063232,0,
0x7B,custom-3,I-type-like,100,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000407B,0,0,1,1,0,0,4063232,0,
0x7B,custom-3,I-type-like,101,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000507B,0,0,1,1,0,0,4063232,0,
0x7B,custom-3,I-type-like,110,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000607B,0,0,1,1,0,0,4063232,0,
0x7B,custom-3,I-type-like,111,imm12=cfg_id; full 0x000..0xFFF,rd=x0 (bits 11:7=00000),rs1=x0..x31; all enumerated,N/A; bits 24:20 are imm12[4:0],required 0x000..0x009; reserved 0x000..0x0FF; full 0x000..0xFFF,131072,0,,SAFE,current active Snitch/TARGET_SPATZ decoder,320,0,yes,8192,0,yes,131072,0,yes,0x00007FFF,0x0000707B,0,0,1,1,0,0,4063232,0,
