configuration,flist,flow,command,return_code,started_at,completed_at,log
Spatz_Baseline,/home/wxt/work-phase6-integrated-elab-smoke/baseline_cluster.f,/home/wxt/work-phase6-integrated-elab-smoke/Spatz_Baseline/elaboration.ys,/home/wxt/yosys-sta/oss-cad-suite/bin/yosys -Q -s /home/wxt/work-phase6-integrated-elab-smoke/Spatz_Baseline/elaboration.ys,0,2026-09-01T01:56:10.633539+00:00,2026-09-01T01:56:23.281003+00:00,/home/wxt/work-online-merge-supplement/experiments/phase6_integrated_cost_generality/p0_1_integrated_cost/logs/elab_baseline.log
Spatz_Mixed_SMU,/home/wxt/work-phase6-integrated-elab-smoke/smu_cluster.f,/home/wxt/work-phase6-integrated-elab-smoke/Spatz_Mixed_SMU/elaboration.ys,/home/wxt/yosys-sta/oss-cad-suite/bin/yosys -Q -s /home/wxt/work-phase6-integrated-elab-smoke/Spatz_Mixed_SMU/elaboration.ys,0,2026-09-01T01:56:23.281451+00:00,2026-09-01T01:56:32.786324+00:00,/home/wxt/work-online-merge-supplement/experiments/phase6_integrated_cost_generality/p0_1_integrated_cost/logs/elab_smu.log
