instruction_name,source_name,pattern,source_file,source_location,generation_input
FSGNJ_H,fsgnj.h,0010010??????????000?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:47,No
FSGNJN_H,fsgnjn.h,0010010??????????001?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:48,No
FSGNJX_H,fsgnjx.h,0010010??????????010?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:49,No
FMIN_H,fmin.h,0010110??????????000?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:50,No
FMAX_H,fmax.h,0010110??????????001?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:51,No
FEQ_H,feq.h,1010010??????????010?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:52,No
FLT_H,flt.h,1010010??????????001?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:53,No
FLE_H,fle.h,1010010??????????000?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:54,No
FCVT_W_H,fcvt.w.h,110001000000?????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:55,No
FCVT_WU_H,fcvt.wu.h,110001000001?????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:56,No
FCVT_H_W,fcvt.h.w,110101000000?????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:57,No
FCVT_H_WU,fcvt.h.wu,110101000001?????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:58,No
FMV_X_H,fmv.x.h,111001000000?????000?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:59,No
FCLASS_H,fclass.h,111001000000?????001?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:60,No
FMV_H_X,fmv.h.x,111101000000?????000?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:61,No
FCVT_L_H,fcvt.l.h,110001000010?????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:63,No
FCVT_LU_H,fcvt.lu.h,110001000011?????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:64,No
FCVT_H_L,fcvt.h.l,110101000010?????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:65,No
FCVT_H_LU,fcvt.h.lu,110101000011?????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:66,No
FCVT_S_H,fcvt.s.h,010000000010?????000?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:68,No
FCVT_H_S,fcvt.h.s,010001000000?????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:69,No
FCVT_D_H,fcvt.d.h,010000100010?????000?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:71,No
FCVT_H_D,fcvt.h.d,010001000001?????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:72,No
FCVT_H_H,fcvt.h.h,010001000010?????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:118,No
FLB,flb,?????????????????000?????0000111,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:130,No
FSB,fsb,?????????????????000?????0100111,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:131,No
