candidate,candidate_pattern,conflicting_instruction,existing_pattern,witness_machine_word,source_kind,source_file,source_location
custom-2_f1_f7_57,01110010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x7200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_61,01111010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x7a00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_65,10000010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x8200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_69,10001010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x8a00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_73,10010010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x9200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_77,10011010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x9a00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_81,10100010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0xa200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_85,10101010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0xaa00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_89,10110010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0xb200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_93,10111010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0xba00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_97,11000010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0xc200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_101,11001010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0xca00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_105,11010010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0xd200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
