n,d,seed,software_backend,mixed_backend,probability_mae,probability_cosine,output_mae,output_cosine,software_probability_vs_ref_mae,software_probability_vs_ref_cosine,mixed_probability_vs_ref_mae,mixed_probability_vs_ref_cosine,software_output_vs_ref_mae,software_output_vs_ref_cosine,mixed_output_vs_ref_mae,mixed_output_vs_ref_cosine
8,32,1,host stable max-subtract + exp + normalization reference,Frozen Mixed-Precision SMU model,0.0009019226999953389,0.999960076823964,0.0005227005410688434,0.9999530917286032,6.826675962656736e-05,0.9999997547248538,0.0009134546853601933,0.9999593889710845,0.0006302640726971731,0.9999412320073764,0.0008859689835389872,0.9998803766256594
16,64,1,host stable max-subtract + exp + normalization reference,Frozen Mixed-Precision SMU model,0.00047458516201004386,0.999957063535786,0.0006146771205770563,0.9999501082673721,7.365575584117323e-05,0.9999988858202989,0.0004872445861110464,0.9999546454868004,0.0008015677116333109,0.999910746485696,0.0010233474687204591,0.9998616715394743
