case,n,d,seed,probability_mae,probability_cosine_diagnostic,output_mae,output_cosine_diagnostic,software_status,mixed_status,device_compare_status,software_smu_commands,mixed_smu_commands
N8_D32,8,32,1,0.0009020783472806215,1.0,0.0005226628272794187,0.9999998807907104,pass,pass,pass,0,7
N16_D64,16,64,1,0.0004744808829855174,0.9999999403953552,0.0006145396619103849,1.0,pass,pass,pass,0,15
