entries,q_bits,rom_bits,input_scale_entries_per_unit,output_scale,calibration_cases,calibration_mean_case_error,calibration_worst_case_error,validation_cases,validation_mean_case_error,validation_worst_case_error,final_test_cases,final_test_mean_case_error,final_test_worst_case_error,validation_threshold,passes_validation_threshold,selected
64,10,1024,8.0,1024,32,0.03897440449765956,0.055120506356812586,32,0.03993723951078801,0.06995321647662375,32,0.037346007177548,0.055790185110086,0.015,False,False
64,12,1024,8.0,4096,32,0.03819318221694042,0.054540816996655125,32,0.03935200435602208,0.06877954938542893,32,0.036852518406179396,0.055573692272641764,0.015,False,False
64,14,1024,8.0,16384,32,0.038171444779459954,0.054862565034095555,32,0.039340016415768723,0.06926732886406947,32,0.03676671201242501,0.05576224831634556,0.015,False,False
128,10,2048,16.0,1024,32,0.01986902064579741,0.02843232677208645,32,0.02101715267391866,0.031507467371814334,32,0.020015060337787417,0.028697225295399933,0.015,False,False
128,12,2048,16.0,4096,32,0.018982252629916044,0.028964652546441018,32,0.02021127083237553,0.031000683032467884,32,0.01919814906832132,0.02870422345536262,0.015,False,False
128,14,2048,16.0,16384,32,0.01892060919278438,0.028956705504855306,32,0.020074156892129984,0.030887052470823736,32,0.019094780507740147,0.028722557148969784,0.015,False,False
256,10,4096,32.0,1024,32,0.010854631722240542,0.01569239161418637,32,0.010631048116254437,0.013838504006067663,32,0.010511321363314601,0.01473003915744879,0.015,True,False
256,12,4096,32.0,4096,32,0.009966299529797643,0.016669560504251075,32,0.009649142908909083,0.013712143631723784,32,0.009533609886256384,0.01461141886863895,0.015,True,False
256,14,4096,32.0,16384,32,0.009772992930268055,0.01658453654073455,32,0.009534070032619234,0.013673907648908096,32,0.009288115203787795,0.014776505807496556,0.015,True,True
